Location,Population,Proximity,Cost
59193,9544,8,95342
92,6912,1,5369
5457,1673,5,90532
9296,4065,3,6422
2082,6960,8,44146
98,1369,9,9438
5,7810,2,1708
97,2638,2,15409
4,5847,4,37061
856,4966,7,21659
6647,6999,5,6033
387,4625,9,25324
8,4276,7,86772
7073,1013,3,55897
7,4584,4,65127
50,154,4,42609
71,685,6,99491
448,5658,7,49138
1695,6039,5,87008
11481,874,7,92865
31488,7270,1,56549
13656,3487,2,60415
1,1340,2,52775
08437,8204,3,8193
768,6156,1,8530
98,7229,7,73093
59,2116,5,71281
278,588,7,34974
11762,7184,8,3517
78583,513,8,72227
23297,5132,8,19123
41467,8305,5,47252
538,9208,9,97046
9089,1092,9,48697
89,9787,9,59147
54,7779,8,87073
96,2271,7,4013
2,661,4,59488
69,7438,10,54496
759,7305,2,24161
8238,8676,3,52940
412,280,5,59045
3,4909,6,23836
20211,6162,9,19758
129,3359,3,8955
86,8614,9,28886
3,5380,7,97970
55,7571,4,14929
57,5082,10,22357
1883,8397,5,77390
3744,5559,1,11092
901,7862,10,66737
5349,4041,7,61317
818,9904,4,16719
89087,4896,7,72010
09,2785,6,55561
885,8367,1,89337
71073,883,8,71496
66732,5437,8,67582
5,918,1,89181
4,8026,1,99870
2965,5565,3,24727
77,494,9,49051
82,7948,6,18877
8199,2207,4,82558
6206,8871,3,10235
24,2545,2,66427
6494,1643,3,89902
3,2667,5,42719
6432,576,4,58826
2108,7548,4,23893
63072,8544,5,35549
74,4573,2,18881
38,5452,9,13231
7,5751,1,47462
9,3050,8,14489
562,3780,1,47891
63344,5321,1,60032
8928,2270,8,76236
6690,438,5,89134
96492,2104,6,57946
83,2253,6,63874
656,8491,9,45427
2910,6253,5,3011
77,3385,3,80587
475,8629,1,61679
15,6131,10,49669
2,8072,10,80226
026,8347,8,87792
50038,8982,6,45887
13134,4054,5,6424
48087,4460,3,65127
62,3603,3,84551
1,7061,9,96001
7,6619,1,56736
6737,656,8,24246
41231,541,10,50383
58,3557,5,96091
7234,5102,9,33276
6831,2637,9,45361
76982,7364,10,73359
0207,4855,7,87250
652,4622,10,76873
87,6730,7,67195
32225,6308,2,93170
57,2229,6,87710
6,8255,6,14608
88,8444,10,91377
60,8897,8,12446
14,9096,3,66738
4129,6998,10,56444
27430,6878,1,10789
7,9080,2,69806
64,8381,9,85242
0815,9323,1,44772
27593,4443,9,6053
018,3800,7,80659
23,1858,2,81573
4654,3337,9,78193
257,6263,6,70601
20,9917,9,49059
32,4133,4,41918
67488,6790,5,85277
99113,3478,2,41874
8,7560,8,50157
83,2024,9,8721
19,9714,9,91824
0,9992,4,47402
03,852,2,3571
752,4544,10,92278
9,2512,9,46578
6298,1069,10,29235
934,7071,9,92091
77,9061,7,14523
352,7834,3,12733
08,263,8,88093
431,9756,7,96523
0,384,2,76674
6,271,1,22502
11133,6947,8,97983
896,7894,4,15727
41,2084,2,32248
86196,9449,10,53839
380,7810,7,58807
9349,9486,1,42189
92816,4157,1,14297
2909,6701,6,30937
23,3015,3,70370
52189,4777,2,56232
65,405,4,74629
238,1406,10,2110
91,6851,9,97455
761,7125,5,14547
0,2175,1,85046
91356,8999,7,93278
89,4443,6,97677
27,5792,8,30734
8,4684,7,51720
9,1627,8,5869
1051,4935,5,21617
115,7005,10,20793
47186,1495,10,2114
02358,5080,7,50541
810,1309,1,75741
6113,4465,6,99478
3,3037,8,35098
953,3445,1,83698
35748,6794,2,4426
231,3588,6,58166
70,8386,4,82779
31,2485,6,17095
66,9271,5,58407
30,8556,2,27672
2979,5296,1,86405
78,3299,10,58438
672,7200,1,17057
5358,1956,10,72353
68328,1579,5,58830
13,7800,10,91421
42,6147,2,86318
46,305,2,21871
992,7659,7,49877
5980,9525,9,81981
0376,9478,4,5870
58,5740,9,45677
346,53,5,82997
331,5052,2,3758
73432,3066,10,39828
9925,2544,3,43888
676,5514,9,74808
8033,1692,1,44190
4,3093,8,36164
0,9333,5,25250
164,3758,5,29200
4,9714,8,74973
692,9297,4,23560
8636,3391,10,16970
7,2801,4,92148
890,2060,5,31834
02,9084,2,30908
0,5040,8,44635
958,4916,6,20978
15516,2734,7,71114
49531,6619,1,9008
4687,1978,2,77396
52,9620,7,14909
27297,6682,5,58404
257,3373,5,59328
6835,578,1,97523
1,5096,5,27297
77,4245,10,72504
83998,9690,4,82525
062,2360,4,32435
1845,1466,7,85094
285,3610,4,35763
59784,25,6,70278
38742,1396,3,44485
6523,5855,3,63990
0120,5813,6,3162
6,963,4,72077
8,7443,5,53142
0719,8751,9,67117
8559,1417,1,34318
346,5933,5,37723
7,7055,5,79429
36906,5645,10,58868
42211,6971,9,70026
28631,9147,10,11138
9,7477,1,49047
7906,5256,5,99403
5,5453,8,32517
059,3082,8,48245
94496,5069,5,95651
2,8586,8,1282
2531,1414,7,92346
78,5589,1,20199
7344,8755,9,14019
4265,9229,7,79127
87,8533,7,60914
78392,1939,8,67225
127,6221,10,38708
932,4708,8,3614
9,170,10,43745
279,7276,5,97274
25,6053,3,44531
13037,1809,8,5659
70,8488,5,29442
513,6658,1,22560
79,210,5,56289
0140,4250,5,1311
72238,1434,3,10485
6,907,1,10974
922,298,7,43335
14690,2062,3,58378
779,4994,9,21609
030,104,10,50984
8736,5506,7,13621
8667,9813,5,44902
640,8727,8,60252
3173,4275,8,17467
1,7445,5,10774
66820,9032,3,51712
4,6349,2,21359
56,9711,9,37610
8,1740,3,71387
46104,8297,7,88102
4017,2387,6,75796
6665,3953,3,76354
49402,9402,10,77580
2415,1849,2,10413
25,9809,10,35172
347,7484,6,85512
39,737,5,3813
53720,2822,7,69113
9,5461,3,36814
3,5374,6,2241
2387,9549,4,86418
4,1363,4,97982
12234,1026,4,84151
5,2905,2,32601
6,3919,10,23414
11962,3119,2,27851
704,6177,5,22867
2,609,6,74140
309,891,1,62549
9738,8745,7,36017
78514,4509,9,15215
2,4063,5,11260
2685,7081,4,9159
195,6138,1,89812
04265,4045,8,68063
4755,8145,4,66369
6,9292,4,81380
608,9258,4,48126
6454,2816,4,97846
589,8593,4,62206
2080,9420,5,10217
17,4243,9,67830
78833,7928,9,77105
8894,9555,6,82219
99433,1910,5,63000
35649,3518,4,56207
9,9384,1,81821
56,2075,3,26306
91248,4522,7,47958
30875,749,10,93399
6,5480,7,70715
43722,1564,9,42049
62,800,8,88535
108,3404,9,83707
87,1571,5,73695
8,502,1,39968
23440,3124,4,13651
3,3389,8,80646
9,2064,8,82360
7,7485,7,53610
1,416,9,14323
08387,7560,7,19086
4,4048,7,40930
7298,1882,7,29611
31,2342,5,46584
63197,8262,6,75595
68422,202,6,33603
7497,2409,10,61218
384,8733,3,62981
76474,4632,7,8280
2,5256,3,32962
753,7541,10,32613
038,2315,3,33604
91,9576,1,66783
54315,4298,5,50306
22972,5921,8,51004
5,9020,10,10931
28,2392,2,77962
99983,754,4,74063
6164,92,4,15195
0182,8323,10,61860
65,361,5,80954
7770,9103,6,49545
1,5093,3,20452
52479,1464,6,87791
00419,5315,5,20422
458,5595,4,51755
5230,2951,2,95593
28813,7413,3,28516
31329,6615,8,11943
95875,5207,5,62129
80284,7964,7,51489
182,7235,6,86284
40,529,6,51107
3,8377,6,76133
8,5022,9,49122
30,3396,5,48041
1781,347,3,63797
27615,8222,2,19652
34975,6971,1,62513
0,7998,10,64653
4,6756,10,48813
1,9267,7,40688
358,6162,5,5129
1188,3592,8,8427
7519,5843,9,1298
51605,996,4,65277
16,2328,4,26513
39877,1431,3,60609
99478,6832,1,87003
82268,3610,8,94499
3,88,1,37296
9,4647,8,91133
2336,6026,5,26264
68044,585,9,42126
0,5963,2,22359
049,7464,8,46661
389,9217,7,91980
821,2489,4,19319
18318,4102,1,20446
639,6213,4,29686
8925,9300,4,36416
70865,4113,10,8785
04,8515,7,14234
36,765,10,24914
5825,5277,7,69795
03,9938,5,76537
3370,1669,6,71425
57,2197,5,67210
9,1891,5,33625
76119,8427,9,59101
9,1002,5,8791
91593,9915,6,23488
4380,4539,4,57509
0133,4479,9,30840
982,8888,5,87760
8329,385,4,7301
200,5612,7,66978
1881,5478,4,68368
0,1517,6,71657
0,3356,7,96309
24,2737,1,91682
008,6178,1,15960
6004,7043,10,2364
8,3333,3,7164
1,4032,1,55764
5,189,9,67749
303,9472,5,93542
1033,365,2,86844
7241,694,8,73492
5,8566,4,73659
561,2217,1,14740
241,9151,1,77652
0,4136,2,70194
516,7049,9,41491
8,1316,7,71912
82,5845,5,36993
32,9444,10,46923
1889,2866,10,93444
7538,920,3,34042
86,7407,5,87126
039,1489,5,12605
97108,8169,10,95078
7678,3666,2,64496
33266,380,9,11861
1098,6634,2,2324
0817,3244,5,50437
1,207,6,77555
78,2555,6,75107
66919,9337,4,40486
4,1772,2,87048
40,9338,1,30104
8575,1441,8,36607
4,5863,1,94714
850,5871,10,76312
335,7585,6,50865
62,8718,8,1797
61,2985,1,98076
30471,1186,5,41548
02426,5595,9,91907
938,8259,3,32506
6015,6837,6,78123
47134,6497,2,1864
751,596,8,59591
078,9778,10,70244
1158,3467,5,57870
65802,4939,2,45585
89,1727,10,55292
577,6825,6,95394
90,348,9,58038
22,6138,3,61531
8,484,4,14154
1915,6192,7,62817
38460,5979,10,2031
88095,1569,5,51724
32010,6716,7,58421
0,6535,4,85160
21100,4296,10,99519
24,4945,6,75355
4956,7664,7,96456
7426,620,7,85086
85,5439,5,19224
6,1384,9,36838
60007,769,8,7345
563,928,8,37645
68240,4426,6,46556
57618,3121,8,17543
30,896,4,35710
713,8571,1,75609
0,3850,3,11962
0295,3745,5,49721
2,6303,9,30294
3,1419,6,64724
451,1510,1,38159
2,3202,3,16991
155,6846,6,60105
2,8519,1,33153
3,7792,5,84070
284,5223,10,51455
557,4838,6,52731
514,1938,2,90868
4,7508,4,57118
6,2982,10,27805
118,2160,8,12263
68334,2862,8,68659
52206,3915,7,36750
880,3288,9,77858
613,8679,7,90609
284,767,3,81913
1741,6245,9,40056
7111,5977,1,35415
87004,8040,3,50001
03,4940,3,6421
35,4678,2,52988
40,5169,1,81807
15023,5808,4,78723
966,7040,8,47151
6,2833,8,1520
9261,4479,3,49770
816,4597,2,80750
38,1774,9,29035
86466,7436,7,36211
32567,890,8,91876
50615,4006,2,96020
826,3799,2,78422
8,9131,7,15620
